Timestamp,IP,Score,Verdict
2026-06-11 12:05:48,185.130.5.253,0,SAFE
2026-06-11 12:05:49,45.155.205.233,8,SAFE
2026-06-11 12:05:50,94.102.61.78,0,SAFE
2026-06-11 12:05:51,185.220.101.45,100,MALICIOUS
2026-06-11 12:05:52,91.219.236.166,0,SAFE
2026-06-11 12:05:52,23.227.38.65,0,SAFE
2026-06-11 12:05:53,45.142.212.61,0,SAFE
2026-06-11 12:05:53,194.26.192.45,0,SAFE
2026-06-11 12:05:54,89.248.165.45,0,SAFE
2026-06-11 12:05:55,103.253.41.78,0,SAFE
2026-06-11 12:05:56,77.88.55.242,0,SAFE
2026-06-11 12:05:57,104.21.32.5,0,SAFE
2026-06-11 12:05:57,151.101.1.140,0,SAFE
2026-06-11 12:05:58,185.199.108.153,33,SUSPICIOUS
2026-06-11 12:05:59,52.218.128.19,0,SAFE
2026-06-11 12:06:00,34.107.243.81,0,SAFE
2026-06-11 12:06:00,149.154.167.51,18,SUSPICIOUS
2026-06-11 12:06:01,167.99.132.226,0,SAFE
2026-06-11 12:06:02,45.33.32.156,11,SUSPICIOUS
2026-06-11 12:06:03,198.199.121.176,0,SAFE
2026-06-11 12:06:03,192.168.1.105,0,SAFE
2026-06-11 12:06:04,10.0.0.47,0,SAFE
2026-06-11 12:06:05,172.16.254.12,0,SAFE
2026-06-11 12:06:06,8.8.8.8,0,SAFE
2026-06-11 12:06:06,1.1.1.1,0,SAFE
